id;title;publish_date;cost;description
1;Table Fish;2021-06-08;89620;SAS
2;Gloves Bahrain Principal;2021-06-08;27257;state mobile Concrete
3;Pass;2021-06-08;51293;Designer connect
4;toolset interfaces;2021-06-08;944;Pula Representative parsing
5;calculating;2021-06-08;14541;Alaska Soft FTP
6;Georgia Generic;2021-06-08;16847;bus
7;cross-platform;2021-06-08;78128;Berkshire Jordanian application
8;turn-key Soft;2021-06-08;83632;Club architectures
9;generate Ports syndicate;2021-06-09;11906;e-business indigo Account
10;Sweden Personal programming;2021-06-08;341;Developer
